"year_","interested_in_categories_12","cum_total"
"2020","[AKTIFCOCUK, AKTIFSPOR]","65333.15"
"2021","[AKTIFCOCUK, AKTIFSPOR]","296779.06"
"2020","[AKTIFCOCUK, COCUK, AKTIFSPOR]","48494.63"
"2021","[AKTIFCOCUK, COCUK, AKTIFSPOR]","218368.58"
"2020","[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]","51943.06"
"2021","[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]","299126.43"
"2020","[AKTIFCOCUK, COCUK, KADIN]","46379.10"
"2021","[AKTIFCOCUK, COCUK, KADIN]","171474.23"
"2020","[AKTIFCOCUK, COCUK]","75933.31"
"2021","[AKTIFCOCUK, COCUK]","215160.70"
"2020","[AKTIFCOCUK, ERKEK, AKTIFSPOR]","42382.33"
"2021","[AKTIFCOCUK, ERKEK, AKTIFSPOR]","166760.77"
"2020","[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]","28351.11"
"2021","[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]","152263.38"
"2020","[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]","81156.69"
"2021","[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]","478597.50"
"2020","[AKTIFCOCUK, ERKEK, COCUK, KADIN]","29926.77"
"2021","[AKTIFCOCUK, ERKEK, COCUK, KADIN]","133662.73"
"2020","[AKTIFCOCUK, ERKEK, COCUK]","30088.53"
"2021","[AKTIFCOCUK, ERKEK, COCUK]","106717.78"
"2020","[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]","40031.49"
"2021","[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]","247415.92"
"2020","[AKTIFCOCUK, ERKEK, KADIN]","28233.33"
"2021","[AKTIFCOCUK, ERKEK, KADIN]","81493.88"
"2020","[AKTIFCOCUK, ERKEK]","31443.26"
"2021","[AKTIFCOCUK, ERKEK]","136818.50"
"2020","[AKTIFCOCUK, KADIN, AKTIFSPOR]","47607.34"
"2021","[AKTIFCOCUK, KADIN, AKTIFSPOR]","200783.41"
"2020","[AKTIFCOCUK, KADIN]","37856.90"
"2021","[AKTIFCOCUK, KADIN]","166269.61"
"2020","[AKTIFCOCUK]","117960.66"
"2021","[AKTIFCOCUK]","353642.83"
"2020","[AKTIFSPOR]","995057.48"
"2021","[AKTIFSPOR]","2373965.87"
"2020","[COCUK, AKTIFSPOR]","74024.06"
"2021","[COCUK, AKTIFSPOR]","242580.14"
"2020","[COCUK, KADIN, AKTIFSPOR]","59447.79"
"2021","[COCUK, KADIN, AKTIFSPOR]","245603.72"
"2020","[COCUK, KADIN]","133181.21"
"2021","[COCUK, KADIN]","303131.87"
"2020","[COCUK]","160648.60"
"2021","[COCUK]","381699.75"
"2020","[ERKEK, AKTIFSPOR]","397787.32"
"2021","[ERKEK, AKTIFSPOR]","1089024.91"
"2020","[ERKEK, COCUK, AKTIFSPOR]","36576.73"
"2021","[ERKEK, COCUK, AKTIFSPOR]","165887.60"
"2020","[ERKEK, COCUK, KADIN, AKTIFSPOR]","70986.44"
"2021","[ERKEK, COCUK, KADIN, AKTIFSPOR]","350607.32"
"2020","[ERKEK, COCUK, KADIN]","70576.02"
"2021","[ERKEK, COCUK, KADIN]","181453.35"
"2020","[ERKEK, COCUK]","52851.80"
"2021","[ERKEK, COCUK]","144196.49"
"2020","[ERKEK, KADIN, AKTIFSPOR]","238119.91"
"2021","[ERKEK, KADIN, AKTIFSPOR]","941386.51"
"2020","[ERKEK, KADIN]","276768.86"
"2021","[ERKEK, KADIN]","624090.90"
"2020","[ERKEK]","551533.84"
"2021","[ERKEK]","1106934.44"
"2020","[KADIN, AKTIFSPOR]","373379.17"
"2021","[KADIN, AKTIFSPOR]","1132049.56"
"2020","[KADIN]","514152.90"
"2021","[KADIN]","1139066.02"
"2020","[]","122860.02"
"2021","[]","1136553.55"
