"interested_in_categories_12","frequency"
"[AKTIFSPOR]","3464"
"[KADIN]","2158"
"[]","2135"
"[ERKEK]","1973"
"[KADIN, AKTIFSPOR]","1352"
"[ERKEK, AKTIFSPOR]","1178"
"[ERKEK, KADIN]","848"
"[COCUK]","836"
"[ERKEK, KADIN, AKTIFSPOR]","775"
"[AKTIFCOCUK]","679"
"[COCUK, KADIN]","443"
"[AKTIFCOCUK, COCUK]","349"
"[COCUK, AKTIFSPOR]","317"
"[AKTIFCOCUK, AKTIFSPOR]","317"
"[COCUK, KADIN, AKTIFSPOR]","241"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]","223"
"[ERKEK, COCUK]","215"
"[AKTIFCOCUK, COCUK, KADIN]","213"
"[ERKEK, COCUK, KADIN, AKTIFSPOR]","213"
"[AKTIFCOCUK, KADIN]","210"
"[ERKEK, COCUK, KADIN]","204"
"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]","203"
"[AKTIFCOCUK, COCUK, AKTIFSPOR]","202"
"[AKTIFCOCUK, KADIN, AKTIFSPOR]","184"
"[ERKEK, COCUK, AKTIFSPOR]","156"
"[AKTIFCOCUK, ERKEK]","152"
"[AKTIFCOCUK, ERKEK, AKTIFSPOR]","142"
"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]","132"
"[AKTIFCOCUK, ERKEK, COCUK]","122"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN]","115"
"[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]","105"
"[AKTIFCOCUK, ERKEK, KADIN]","89"
