"month","total_revenue"
"2020-05-01 00:00:00+01","22988.72"
"2020-06-01 00:00:00+01","531988.94"
"2020-07-01 00:00:00+01","625572.45"
"2020-08-01 00:00:00+01","384510.64"
"2020-09-01 00:00:00+01","538342.73"
"2020-10-01 00:00:00+01","646932.65"
"2020-11-01 00:00:00+00","1291047.27"
"2020-12-01 00:00:00+00","889690.41"
"2021-01-01 00:00:00+00","1185797.51"
"2021-02-01 00:00:00+00","1343764.93"
"2021-03-01 00:00:00+00","1732917.58"
"2021-04-01 00:00:00+01","2303004.40"
"2021-05-01 00:00:00+01","3487009.08"
