"interested_in_categories_12","total_sales","cum_total"
"[AKTIFCOCUK, ERKEK, KADIN]","81493.88","81493.88"
"[AKTIFCOCUK, ERKEK, COCUK]","106717.78","188211.66"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN]","133662.73","321874.39"
"[AKTIFCOCUK, ERKEK]","136818.50","458692.89"
"[ERKEK, COCUK]","144196.49","602889.38"
"[AKTIFCOCUK, ERKEK, COCUK, AKTIFSPOR]","152263.38","755152.76"
"[ERKEK, COCUK, AKTIFSPOR]","165887.60","921040.36"
"[AKTIFCOCUK, KADIN]","166269.61","1087309.97"
"[AKTIFCOCUK, ERKEK, AKTIFSPOR]","166760.77","1254070.74"
"[AKTIFCOCUK, COCUK, KADIN]","171474.23","1425544.97"
"[ERKEK, COCUK, KADIN]","181453.35","1606998.32"
"[AKTIFCOCUK, KADIN, AKTIFSPOR]","200783.41","1807781.73"
"[AKTIFCOCUK, COCUK]","215160.70","2022942.43"
"[AKTIFCOCUK, COCUK, AKTIFSPOR]","218368.58","2241311.01"
"[COCUK, AKTIFSPOR]","242580.14","2483891.15"
"[COCUK, KADIN, AKTIFSPOR]","245603.72","2729494.87"
"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]","247415.92","2976910.79"
"[AKTIFCOCUK, AKTIFSPOR]","296779.06","3273689.85"
"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]","299126.43","3572816.28"
"[COCUK, KADIN]","303131.87","3875948.15"
"[ERKEK, COCUK, KADIN, AKTIFSPOR]","350607.32","4226555.47"
"[AKTIFCOCUK]","353642.83","4580198.30"
"[COCUK]","381699.75","4961898.05"
"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]","478597.50","5440495.55"
"[ERKEK, KADIN]","624090.90","6064586.45"
"[ERKEK, KADIN, AKTIFSPOR]","941386.51","7005972.96"
"[ERKEK, AKTIFSPOR]","1089024.91","8094997.87"
"[ERKEK]","1106934.44","9201932.31"
"[KADIN, AKTIFSPOR]","1132049.56","10333981.87"
"[]","1136553.55","11470535.42"
"[KADIN]","1139066.02","12609601.44"
"[AKTIFSPOR]","2373965.87","14983567.31"
